topword,middleword,bottomword,chosenword,percentage,trial_type,question,response,rt,session,points,trialnum,datetime
,,,,,demographic,automatic user agent check,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36",,1,0,,2022-06-01T16:42:18.290Z
a fish,to read,a month,a month,,trial,,,9644.59999999404,1,0,2,2022-06-01T16:44:12.142Z
 source,a month,to read,to read,,trial,,,215.59999999403954,1,10,3,2022-06-01T16:44:12.358Z
rat,horse,rooster,,86,feedback,,,7201.4000000059605,1,20,4,2022-06-01T16:44:46.265Z
,,,,,demographic,what is your age?,55,5658.0999999940395,1,53,,2022-06-01T16:44:51.946Z
pink, weight, weight, weight,,catch,,,4288.9000000059605,1,53,5,2022-06-01T16:44:56.237Z
caribou,bat,alligator,,76,feedback,,,9104.5,1,63,6,2022-06-01T16:45:05.345Z
,,,,,demographic,what is your gender?,male,4060.2000000178814,1,107,,2022-06-01T16:45:21.894Z
to believe, cheap,to deceive,to deceive,,trial,,,8087,1,107,7,2022-06-01T16:45:29.983Z
a box,to deceive, cheap, cheap,,trial,,,6827.4000000059605,1,117,8,2022-06-01T16:45:36.811Z
duck,caribou,bat,,41,feedback,,,16469.30000001192,1,127,9,2022-06-01T16:45:53.283Z
,,,,,demographic,what languages do you speak?,3,7776.0999999940395,1,195,,2022-06-01T16:46:21.091Z
 dish, dish,brown, dish,,catch,,,4381.0999999940395,1,195,10,2022-06-01T16:46:25.474Z
chicken,horse,dolphin,,55,feedback,,,17963.29999998212,1,196,11,2022-06-01T16:46:43.440Z
,,,,,demographic,what is the highest level ofeducation you have completed?,6_doctorate,5211.5999999940395,1,284,,2022-06-01T16:46:48.655Z
a cheek,to forget,black,a cheek,,trial,,,9271,1,284,12,2022-06-01T16:46:57.927Z
to forget,a cheek,a grandfather,a grandfather,,trial,,,5138.4000000059605,1,285,13,2022-06-01T16:47:03.065Z
a family,a grandfather,a cheek,a family,,trial,,,4010.0999999940395,1,295,14,2022-06-01T16:47:07.075Z
a grandfather,a family, under,a grandfather,,trial,,,4242.800000011921,1,296,15,2022-06-01T16:47:11.318Z
seal,penguin,vulture,,35,feedback,,,9531.90000000596,1,297,16,2022-06-01T16:47:20.853Z
,,,,,demographic,what is your first/native language?,English,8415,1,354,,2022-06-01T16:47:42.484Z
to read,a boot,a knife,a knife,,trial,,,4095.300000011921,1,354,17,2022-06-01T16:47:46.581Z
 sad,a knife,a boot,a boot,,trial,,,3621,1,364,18,2022-06-01T16:47:50.202Z
frog,dolphin,elk,,70,feedback,,,6845.5999999940395,1,374,19,2022-06-01T16:47:57.052Z
,,,,,demographic,what country do you currently live in?,United States,12298.59999999404,1,435,,2022-06-01T16:48:20.647Z
a box,to deceive,a corner,a box,,trial,,,9939.09999999404,1,435,20,2022-06-01T16:48:30.588Z
to deceive,a box, money, money,,trial,,,3503.699999988079,1,436,21,2022-06-01T16:48:34.091Z
 cheap, money,a box,a box,,trial,,,8103.800000011921,1,446,22,2022-06-01T16:48:42.195Z
pony,dolphin,perch,,36,feedback,,,8240.90000000596,1,456,23,2022-06-01T16:48:50.439Z
,,,,,demographic,do you have any comments for us?,no,4922.9000000059605,1,539,,2022-06-01T16:48:55.367Z
a shirt, sick,a gift,a shirt,,trial,,,9068.800000011921,1,539,24,2022-06-01T16:49:04.438Z
 sick,a shirt,a story,a story,,trial,,,4747.5999999940395,1,540,25,2022-06-01T16:49:09.186Z
yellow,a story,a shirt,a shirt,,trial,,,7510.699999988079,1,550,26,2022-06-01T16:49:16.696Z
pig,tiger,alligator,,55,feedback,,,6215.9000000059605,1,560,27,2022-06-01T16:49:22.915Z
to add, soft, soft, soft,,catch,,,5503.0999999940395,1,657,28,2022-06-01T16:49:36.141Z
turtle,beaver,chimp,,38,feedback,,,8583.59999999404,1,667,29,2022-06-01T16:49:44.727Z
a leg, powerful, pain, pain,,trial,,,13222.699999988079,1,758,30,2022-06-01T16:50:06.669Z
 country, pain, powerful, powerful,,trial,,,4031.5999999940395,1,768,31,2022-06-01T16:50:10.701Z
chicken,dog,bat,,56,feedback,,,14062.300000011921,1,778,32,2022-06-01T16:50:24.766Z
a needle, thin,a message,a needle,,trial,,,8549.800000011921,1,878,33,2022-06-01T16:50:33.319Z
 thin,a needle, sad, thin,,trial,,,3843.800000011921,1,879,34,2022-06-01T16:50:37.163Z
lobster,dolphin,caribou,,58,feedback,,,7041.4000000059605,1,880,35,2022-06-01T16:50:44.207Z
a knife,a knife,a nest,a knife,,catch,,,2529.4000000059605,1,977,36,2022-06-01T16:50:53.121Z
toad,seal,lamb,,44,feedback,,,10334,1,978,37,2022-06-01T16:51:03.457Z
 weak,pink,purple,purple,,trial,,,4752.199999988079,1,1064,38,2022-06-01T16:51:08.214Z
 famous,purple,pink,pink,,trial,,,4071.300000011921,1,1074,39,2022-06-01T16:51:12.285Z
crocodile,lion,bat,,54,feedback,,,8381.59999999404,1,1084,40,2022-06-01T16:51:20.669Z
to melt,a teacher,to disturb,to disturb,,trial,,,8453.600000023842,1,1181,41,2022-06-01T16:51:35.531Z
a pillow,to disturb,a teacher,a teacher,,trial,,,6507,1,1191,42,2022-06-01T16:51:42.038Z
turtle,seal,elk,,45,feedback,,,7265.0999999940395,1,1201,43,2022-06-01T16:51:49.307Z
a reason,a cloud, powerful,a reason,,trial,,,8693.5,1,1269,44,2022-06-01T16:52:05.616Z
a cloud,a reason,a thigh,a cloud,,trial,,,9533.899999976158,1,1270,45,2022-06-01T16:52:15.150Z
chicken,horse,zebra,,25,feedback,,,9391.5,1,1271,46,2022-06-01T16:52:24.544Z
to forget, dish, chest, chest,,trial,,,10251.40000000596,1,1335,47,2022-06-01T16:52:47.902Z
 naked, chest, dish, naked,,trial,,,5144,1,1345,48,2022-06-01T16:52:53.046Z
 chest, naked,orange, chest,,trial,,,7775.799999982119,1,1346,49,2022-06-01T16:53:00.822Z
crab,dolphin,chimp,,54,feedback,,,6473.399999976158,1,1347,50,2022-06-01T16:53:07.298Z
 sick,to bother,black, sick,,trial,,,4786.5,1,1441,51,2022-06-01T16:53:15.306Z
to bother, sick,a gift,a gift,,trial,,,10813.90000000596,1,1442,52,2022-06-01T16:53:26.120Z
 soft,a gift, sick, soft,,trial,,,4217.5999999940395,1,1452,53,2022-06-01T16:53:30.338Z
a gift, soft, clothes, clothes,,trial,,,2794.300000011921,1,1453,54,2022-06-01T16:53:33.132Z
to speak, clothes, soft, soft,,trial,,,3369.699999988079,1,1463,55,2022-06-01T16:53:36.502Z
cougar,dolphin,toad,,53,feedback,,,14949.5,1,1473,56,2022-06-01T16:53:51.454Z
a mistake,to melt,a needle,a mistake,,trial,,,5378,1,1567,57,2022-06-01T16:54:01.556Z
