topword,middleword,bottomword,chosenword,percentage,trial_type,question,response,rt,session,points,trialnum,datetime
,,,,,demographic,automatic user agent check,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.67 Safari/537.36",,1,0,,2022-06-01T20:47:04.027Z
a word,to carry,to teach,a word,,trial,,,9266.299999952316,1,0,2,2022-06-01T20:50:34.437Z
to carry,a word, pain, pain,,trial,,,4677,1,1,3,2022-06-01T20:50:39.114Z
a gift, pain,a word,a word,,trial,,,3381.7999999523163,1,11,4,2022-06-01T20:50:42.496Z
lamb,seal,toad,,100,feedback,,,5660,1,21,5,2022-06-01T20:51:02.174Z
,,,,,demographic,what is your age?,41,4053.5,1,34,,2022-06-01T20:51:15.615Z
 power, clever,a story, power,,trial,,,7316.599999904633,1,34,6,2022-06-01T20:51:22.932Z
 clever, power,a chair, clever,,trial,,,4964.600000143051,1,35,7,2022-06-01T20:51:27.896Z
crab,dolphin,elk,,80,feedback,,,5724.200000047684,1,36,8,2022-06-01T20:51:33.623Z
,,,,,demographic,what is your gender?,female,2997.9000000953674,1,80,,2022-06-01T20:51:40.971Z
green, child,to forget,green,,trial,,,4940.099999904633,1,80,9,2022-06-01T20:51:45.912Z
 child,green,a nest, child,,trial,,,3238.4000000953674,1,81,10,2022-06-01T20:51:49.150Z
coyote,seal,turtle,,21,feedback,,,5556.599999904633,1,82,11,2022-06-01T20:51:54.708Z
,,,,,demographic,what languages do you speak?,english,6900.600000143051,1,131,,2022-06-01T20:52:04.399Z
 source,a shirt,to bother, source,,trial,,,3734,1,131,12,2022-06-01T20:52:08.134Z
a shirt, source, thin, thin,,trial,,,3662.2999999523163,1,132,13,2022-06-01T20:52:11.796Z
a picture, thin, source, source,,trial,,,3982.2999999523163,1,142,14,2022-06-01T20:52:15.778Z
gorilla,sheep,chicken,,14,feedback,,,4874.5,1,152,15,2022-06-01T20:52:20.654Z
,,,,,demographic,what is the highest level ofeducation you have completed?,5_bachelor,3779.5999999046326,1,175,,2022-06-01T20:52:26.394Z
to carry, thick, thick, thick,,catch,,,2519.600000143051,1,175,16,2022-06-01T20:52:28.915Z
lobster,dolphin,caribou,,88,feedback,,,3956.399999856949,1,185,17,2022-06-01T20:52:32.873Z
,,,,,demographic,what is your first/native language?,english,4085.9000000953674,1,218,,2022-06-01T20:52:38.670Z
a heel,a collar, source,a heel,,trial,,,5932.5,1,218,18,2022-06-01T20:52:44.603Z
a collar,a heel, naked,a collar,,trial,,,2717.699999809265,1,219,19,2022-06-01T20:52:47.321Z
rattlesnake,turtle,perch,,84,feedback,,,4389,1,220,20,2022-06-01T20:52:51.711Z
,,,,,demographic,what country do you currently live in?,usa,5507.900000095367,1,259,,2022-06-01T20:52:58.955Z
a bed,black,a shelf,a shelf,,trial,,,5636.299999952316,1,259,21,2022-06-01T20:53:04.592Z
 hair,a shelf,black,black,,trial,,,2728.300000190735,1,269,22,2022-06-01T20:53:07.320Z
peacock,horse,fawn,,5,feedback,,,2788.4000000953674,1,279,23,2022-06-01T20:53:10.110Z
,,,,,demographic,do you have any comments for us?,no,4317.5,1,347,,2022-06-01T20:53:19.962Z
to eat,to eat, child,to eat,,catch,,,2998,1,347,24,2022-06-01T20:53:22.961Z
turtle,vulture,rooster,,17,feedback,,,2860.7999999523163,1,348,25,2022-06-01T20:53:25.823Z
red,a nose,a family,red,,trial,,,4054.100000143051,1,445,26,2022-06-01T20:53:33.220Z
a nose,red,a message,a nose,,trial,,,2982.0999999046326,1,446,27,2022-06-01T20:53:36.202Z
vulture,penguin,seal,,14,feedback,,,2804.5999999046326,1,447,28,2022-06-01T20:53:39.008Z
 weight, weight,a roof, weight,,catch,,,3216,1,476,29,2022-06-01T20:53:45.511Z
chicken,goat,lion,,72,feedback,,,3060.9000000953674,1,477,30,2022-06-01T20:53:48.573Z
 memory,a gift,to speak, memory,,trial,,,2413.7000000476837,1,510,31,2022-06-01T20:53:54.081Z
a gift, memory,a boot,a gift,,trial,,,3606.7000000476837,1,511,32,2022-06-01T20:53:57.688Z
elk,zebra,peacock,,86,feedback,,,2468.5,1,512,33,2022-06-01T20:54:00.158Z
 power, clever,a story, power,,trial,,,4108.400000095367,1,603,34,2022-06-01T20:54:06.443Z
 clever, power,a chair, clever,,trial,,,2136,1,604,35,2022-06-01T20:54:08.579Z
chicken,dog,bat,,72,feedback,,,3356.899999856949,1,605,36,2022-06-01T20:54:11.937Z
to forget,green,green,green,,catch,,,3445.7999999523163,1,664,37,2022-06-01T20:54:17.509Z
alligator,beaver,caribou,,66,feedback,,,4492.899999856949,1,674,38,2022-06-01T20:54:22.004Z
a family,a cheek,red,red,,trial,,,3062.2000000476837,1,718,39,2022-06-01T20:54:27.496Z
a nest,red,a cheek,a cheek,,trial,,,2192.2000000476837,1,728,40,2022-06-01T20:54:29.689Z
iguana,coyote,dolphin,,27,feedback,,,2412.2000000476837,1,738,41,2022-06-01T20:54:32.103Z
an item,to grow, grass, grass,,trial,,,2878.0999999046326,1,795,42,2022-06-01T20:54:36.509Z
to deceive, grass,to grow,to grow,,trial,,,1830.1000001430511,1,805,43,2022-06-01T20:54:38.339Z
alligator,bat,deer,,65,feedback,,,2796.5999999046326,1,815,44,2022-06-01T20:54:41.137Z
a grandfather,a table, famous,a grandfather,,trial,,,4830.599999904633,1,881,45,2022-06-01T20:54:47.464Z
a table,a grandfather,a roof,a table,,trial,,,5268.200000047684,1,882,46,2022-06-01T20:54:52.732Z
rattlesnake,bat,cougar,,76,feedback,,,3669,1,883,47,2022-06-01T20:54:56.403Z
a mistake, country, people, people,,trial,,,4284.200000047684,1,938,48,2022-06-01T20:55:01.984Z
to add, people, country, country,,trial,,,2080.2000000476837,1,948,49,2022-06-01T20:55:04.064Z
toad,dolphin,cougar,,72,feedback,,,3364.5,1,958,50,2022-06-01T20:55:07.430Z
 thin, source,a ladder, thin,,trial,,,3382.5999999046326,1,1004,51,2022-06-01T20:55:12.091Z
 source, thin, dish, source,,trial,,,2104.2000000476837,1,1005,52,2022-06-01T20:55:14.195Z
seal,goat,chicken,,25,feedback,,,2180.2000000476837,1,1006,53,2022-06-01T20:55:16.377Z
to destroy,to teach,to forget,to forget,,trial,,,3582,1,1052,54,2022-06-01T20:55:21.135Z
 weak,to forget,to teach,to teach,,trial,,,1830.8000001907349,1,1062,55,2022-06-01T20:55:22.966Z
seal,zebra,peacock,,68,feedback,,,3747.699999809265,1,1072,56,2022-06-01T20:55:26.716Z
 money, meat, chest, money,,trial,,,3365.899999856949,1,1142,57,2022-06-01T20:55:31.498Z
 meat, money,a vein, meat,,trial,,,2694.2000000476837,1,1143,58,2022-06-01T20:55:34.193Z
coyote,seal,perch,,30,feedback,,,2012.3999998569489,1,1144,59,2022-06-01T20:55:36.207Z
 famous,a chair,a grandfather,a grandfather,,trial,,,2854.7000000476837,1,1195,60,2022-06-01T20:55:40.318Z
 milk,a grandfather,a chair,a chair,,trial,,,1919.7000000476837,1,1205,61,2022-06-01T20:55:42.237Z
vulture,rat,tiger,,29,feedback,,,3956.9000000953674,1,1215,62,2022-06-01T20:55:46.196Z
 pain,a word,the ground, pain,,trial,,,3910.5999999046326,1,1259,63,2022-06-01T20:55:50.992Z
a word, pain,a gift,a word,,trial,,,1839.9000000953674,1,1260,64,2022-06-01T20:55:52.832Z
turkey,vulture,rat,,76,feedback,,,2756.7000000476837,1,1261,65,2022-06-01T20:55:55.590Z
a collar,a nest,to speak,a collar,,trial,,,2840,1,1344,66,2022-06-01T20:56:00.077Z
a nest,a collar,a heel,a heel,,trial,,,3078.100000143051,1,1345,67,2022-06-01T20:56:03.155Z
a shirt,a heel,a collar,a collar,,trial,,,3318.399999856949,1,1355,68,2022-06-01T20:56:06.474Z
iguana,crocodile,peacock,,74,feedback,,,5210.899999856949,1,1365,69,2022-06-01T20:56:11.686Z
a cheek,a shoe,a shirt,a shirt,,trial,,,3182.7999999523163,1,1440,70,2022-06-01T20:56:16.125Z
a heel,a shirt,a shoe,a shoe,,trial,,,2278,1,1450,71,2022-06-01T20:56:18.403Z
alligator,iguana,coyote,,79,feedback,,,2182.2999999523163,1,1460,72,2022-06-01T20:56:20.586Z
 money,to eat,black, money,,trial,,,2631.7999999523163,1,1548,73,2022-06-01T20:56:24.393Z
to eat, money,a vein,a vein,,trial,,,6100.900000095367,1,1549,74,2022-06-01T20:56:30.494Z
 soft,a vein, money, money,,trial,,,2190,1,1559,75,2022-06-01T20:56:32.684Z
crocodile,bear,bat,,31,feedback,,,2628.4000000953674,1,1569,76,2022-06-01T20:56:35.314Z
pink,a story,to seek,to seek,,trial,,,2829.899999856949,1,1624,77,2022-06-01T20:56:38.888Z
gray,to seek,a story,a story,,trial,,,1616.2999999523163,1,1634,78,2022-06-01T20:56:40.505Z
chicken,duck,crocodile,,74,feedback,,,2668.5999999046326,1,1644,79,2022-06-01T20:56:43.175Z
blue,an item, memory,blue,,trial,,,3118.5999999046326,1,1710,80,2022-06-01T20:56:47.077Z
an item,blue,a nest,an item,,trial,,,1773.7999999523163,1,1711,81,2022-06-01T20:56:48.851Z
lobster,dolphin,cougar,,80,feedback,,,3118.7000000476837,1,1712,82,2022-06-01T20:56:51.971Z
