topword,middleword,bottomword,chosenword,percentage,trial_type,question,response,rt,session,points,trialnum,datetime
,,,,,demographic,automatic user agent check,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.63 Safari/537.36",,1,0,,2022-06-01T05:11:05.386Z
a shoe, pain, dish,a shoe,,trial,,,10753.79999999702,1,0,2,2022-06-01T05:12:47.200Z
 pain,a shoe,to carry,to carry,,trial,,,6808.70000000298,1,1,3,2022-06-01T05:12:54.009Z
to know,to carry,a shoe,to know,,trial,,,4667.19999999553,1,11,4,2022-06-01T05:12:58.676Z
to carry,to know,a corner,to carry,,trial,,,2533.5,1,12,5,2022-06-01T05:13:01.210Z
coyote,dog,turkey,,0,feedback,,,4231.80000000447,1,13,6,2022-06-01T05:13:16.528Z
,,,,,demographic,what is your age?,40,4455.39999999851,1,13,,2022-06-01T05:13:24.774Z
 sick, cheap,red, sick,,trial,,,5385.29999999702,1,13,7,2022-06-01T05:13:30.160Z
 cheap, sick, noise, noise,,trial,,,5818,1,14,8,2022-06-01T05:13:35.978Z
the ground, noise, sick,the ground,,trial,,,4527.9000000059605,1,24,9,2022-06-01T05:13:40.506Z
 noise,the ground,a shirt,a shirt,,trial,,,2506,1,25,10,2022-06-01T05:13:43.012Z
to eat,a shirt,the ground,the ground,,trial,,,4880.19999999553,1,35,11,2022-06-01T05:13:47.892Z
bat,dog,chicken,,0,feedback,,,2335.3000000044703,1,45,12,2022-06-01T05:13:50.232Z
,,,,,demographic,what is your gender?,female,2587.0999999940395,1,63,,2022-06-01T05:14:01.699Z
a chair,to destroy, thin, thin,,trial,,,4018.10000000149,1,63,13,2022-06-01T05:14:05.718Z
a gift, thin,to destroy,a gift,,trial,,,2743.39999999851,1,73,14,2022-06-01T05:14:08.462Z
 thin,a gift,to read,to read,,trial,,,1704.1000000014901,1,74,15,2022-06-01T05:14:10.166Z
purple,to read,a gift,purple,,trial,,,1171.8999999985099,1,84,16,2022-06-01T05:14:11.338Z
to read,purple,a collar,a collar,,trial,,,2482.7000000029802,1,85,17,2022-06-01T05:14:13.820Z
 other,a collar,purple,purple,,trial,,,2191.7999999970198,1,95,18,2022-06-01T05:14:16.012Z
dolphin,horse,chicken,,0,feedback,,,3828.7000000029802,1,105,19,2022-06-01T05:14:19.844Z
,,,,,demographic,what languages do you speak?,english,6867.39999999851,1,118,,2022-06-01T05:14:28.361Z
red,to sell, thin, thin,,trial,,,3320.7999999970198,1,118,20,2022-06-01T05:14:31.683Z
a knife, thin,to sell,a knife,,trial,,,1604.2000000029802,1,128,21,2022-06-01T05:14:33.288Z
 thin,a knife,a toe, thin,,trial,,,2203.5999999940395,1,129,22,2022-06-01T05:14:35.491Z
elk,seal,turtle,,6,feedback,,,2548.1999999955297,1,130,23,2022-06-01T05:14:38.041Z
