sliders,choices,rt,default,left_words,max,max_duration,min,question_type,right_words,slider_words,triad_mix,trial,trial_num
"82,0,32,33","true,true,true,true","5003.699999928474,2953.9000000953674,3542.4000000953674,3253.5999999046326",50,"doll,doll,doll,doll",100,12,0,type3,"wagon,wagon,wagon,wagon","hammer,toy,pen,brush",50% type 1/50% type 3,63,3
"0,28,7,8","true,true,true,true","3160.2000000476837,5499.600000023842,3552.6999999284744,3932.600000023842",50,"turtle,turtle,turtle,turtle",100,12,0,type3,"protect,protect,protect,protect","squirrel,mouse,dolphin,alligator",50% type 1/50% type 3,61,4
"1,29,90,74","true,true,true,true","6662.399999976158,4102.100000023842,4199.899999976158,4826.199999928474",50,"exist,exist,exist,exist",100,12,0,type1,"allow,allow,allow,allow","find,make,use,work",50% type 1/50% type 3,13,5
"100,78,78,79","true,true,true,true","4673.600000023842,3058.5,3162.9000000953674,3137.7999999523163",50,"brush,brush,brush,brush",100,12,0,type3,"shirt,shirt,shirt,shirt","coat,gloves,necklace,dress",50% type 1/50% type 3,51,6
"4,19,67,67","true,true,true,true","5490.399999976158,6081.800000071526,3764.5,3895.2999999523163",50,"allow,allow,allow,allow",100,12,0,type3,"submarine,submarine,submarine,submarine","use,find,protect,exist",50% type 1/50% type 3,64,7
"67,31,60,62","true,true,false,true","4999.899999976158,4649.800000071526,6225.299999952316,6102",50,"radio,radio,radio,radio",100,12,0,type1,"hammer,hammer,hammer,hammer","toy,doll,pen,brush",50% type 1/50% type 3,7,8
"35,17,72,45","true,true,true,true","5713.399999976158,4271.300000071526,2959.5,3592",50,"exist,exist,exist,exist",100,12,0,type3,"dish,dish,dish,dish","protect,work,make,find",50% type 1/50% type 3,50,9
"100,46,81,100","true,true,true,true","2907.100000023842,5618.399999976158,3295.600000023842,4194.599999904633",50,"radio,radio,radio,radio",100,12,0,type1,"doll,doll,doll,doll","toy,hammer,pen,brush",50% type 1/50% type 3,35,10
"32,80,81,33","true,true,true,true","3760.8000000715256,2948.5999999046326,3071.9000000953674,3052.5999999046326",50,"snail,snail,snail,snail",100,12,0,type1,"squirrel,squirrel,squirrel,squirrel","clam,fox,lion,turtle",50% type 1/50% type 3,33,11
"16,16,20,81","true,true,true,true","6214.699999928474,7607.5,5471.700000047684,4862.799999952316",50,"use,use,use,use",100,12,0,type1,"allow,allow,allow,allow","work,make,find,exist",50% type 1/50% type 3,34,12
"89,92,90,49","true,true,true,false","3258.600000023842,4707.399999976158,2458.600000023842,3961.7000000476837",50,"radio,radio,radio,radio",100,12,0,type1,"brush,brush,brush,brush","doll,toy,pen,hammer",50% type 1/50% type 3,14,13
"7,0,29,85","true,true,true,true","5096.699999928474,5782.700000047684,4411.099999904633,2931.7000000476837",50,"wagon,wagon,wagon,wagon",100,12,0,type3,"brush,brush,brush,brush","radio,hammer,toy,pen",50% type 1/50% type 3,49,14
100,true,3980.100000023842,50,left,100,12,0,catch,right,move this slider to the right,50% type 1/50% type 3,4,15
"78,29,70,0","true,true,true,true","5186.899999976158,4681.5,4600,2801.7000000476837",50,"submarine,submarine,submarine,submarine",100,12,0,type1,"airplane,airplane,airplane,airplane","train,wagon,bike,ship",50% type 1/50% type 3,30,16
"0,0,0,100","true,true,true,true","4942.5,3028.6999999284744,2594.100000023842,3607.100000023842",50,"couch,couch,couch,couch",100,12,0,type3,"dish,dish,dish,dish","door,desk,cushion,cabinet",50% type 1/50% type 3,41,17
"28,0,0,2","true,true,true,true","4112.399999976158,4833,2893.8000000715256,3021.6999999284744",50,"door,door,door,door",100,12,0,type1,"cabinet,cabinet,cabinet,cabinet","chair,cushion,couch,desk",50% type 1/50% type 3,11,18
0,true,3286.6999999284744,50,left,100,12,0,catch,right,move this slider to the left,50% type 1/50% type 3,5,19
"0,0,0,0","true,true,true,true","3823.7999999523163,2843.2000000476837,3013.5,2718",50,"airplane,airplane,airplane,airplane",100,12,0,type3,"elephant,elephant,elephant,elephant","bike,ship,submarine,train",50% type 1/50% type 3,60,20
"0,0,0,0","true,true,true,true","3671.3000000715256,2610.600000023842,3542.5999999046326,2528.3000000715256",50,"mouse,mouse,mouse,mouse",100,12,0,type3,"brush,brush,brush,brush","turtle,zebra,clam,buffalo",50% type 1/50% type 3,47,21
