topword,middleword,bottomword,chosenword,percentage,trial_type,question,response,rt,session,points,trialnum,datetime
,,,,,demographic,automatic user agent check,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",,1,0,,2022-12-16T08:37:17.329Z
a fish,a fish,to hide,a fish,,catch,,,2169.300000011921,1,0,2,2022-12-16T08:38:22.419Z
turkey,vulture,rat,,100,feedback,,,2455.800000011921,1,1,3,2022-12-16T08:38:31.553Z
,,,,,demographic,what is your age?,28,2831.300000011921,1,56,,2022-12-16T08:38:38.840Z
a seal,a zebra,cheap,a seal,,trial,,,3672.5,1,56,4,2022-12-16T08:38:42.514Z
a zebra,a seal,a tiger,a zebra,,trial,,,3391.699999988079,1,57,5,2022-12-16T08:38:45.905Z
crocodile,bear,bat,,66,feedback,,,4084.800000011921,1,58,6,2022-12-16T08:38:49.992Z
,,,,,demographic,what is your gender?,female,2167.2999999821186,1,115,,2022-12-16T08:38:53.936Z
a tiger,to dance,to stand,to stand,,trial,,,3535.800000011921,1,115,7,2022-12-16T08:38:57.473Z
stupid,to stand,to dance,to dance,,trial,,,1904.0999999940395,1,125,8,2022-12-16T08:38:59.377Z
cat,seal,crab,,87,feedback,,,2798.300000011921,1,135,9,2022-12-16T08:39:02.177Z
,,,,,demographic,what languages do you speak?,English,2867.800000011921,1,154,,2022-12-16T08:39:06.684Z
a squid,a tiger,a zebra,a zebra,,trial,,,2251.4000000059605,1,154,10,2022-12-16T08:39:08.937Z
a pig,a zebra,a tiger,a pig,,trial,,,1924.7999999821186,1,164,11,2022-12-16T08:39:10.861Z
a zebra,a pig,to walk,a zebra,,trial,,,1891.9000000059605,1,165,12,2022-12-16T08:39:12.753Z
vulture,penguin,seal,,95,feedback,,,2100.9000000059605,1,166,13,2022-12-16T08:39:14.856Z
,,,,,demographic,what is the highest level ofeducation you have completed?,5_bachelor,5133.5,1,181,,2022-12-16T08:39:19.992Z
a seal,thin,strong,strong,,trial,,,3959.4000000059605,1,181,14,2022-12-16T08:39:23.953Z
bad,strong,thin,thin,,trial,,,2968,1,191,15,2022-12-16T08:39:26.921Z
chicken,sheep,gorilla,,39,feedback,,,2253.5,1,201,16,2022-12-16T08:39:29.176Z
,,,,,demographic,what is your first/native language?,English,4087.2999999821186,1,279,,2022-12-16T08:39:34.992Z
a pig,a lizard,ripe,a pig,,trial,,,2351.5,1,279,17,2022-12-16T08:39:37.345Z
a lizard,a pig,a mouse,a mouse,,trial,,,3367.300000011921,1,280,18,2022-12-16T08:39:40.712Z
thin,a mouse,a pig,a pig,,trial,,,2949.800000011921,1,290,19,2022-12-16T08:39:43.662Z
coyote,seal,perch,,72,feedback,,,2008.5999999940395,1,300,20,2022-12-16T08:39:45.672Z
,,,,,demographic,what country do you currently live in?,USA,2094.5,1,347,,2022-12-16T08:39:48.680Z
empty,to hide,a cat,empty,,trial,,,2040.300000011921,1,347,21,2022-12-16T08:39:50.721Z
to hide,empty,weak,weak,,trial,,,2007.199999988079,1,348,22,2022-12-16T08:39:52.728Z
stupid,weak,empty,stupid,,trial,,,1736.5,1,358,23,2022-12-16T08:39:54.465Z
weak,stupid,a lion,weak,,trial,,,1455.5,1,359,24,2022-12-16T08:39:55.920Z
rat,horse,rooster,,67,feedback,,,2268.5,1,360,25,2022-12-16T08:39:58.192Z
,,,,,demographic,do you have any comments for us?,,1695.300000011921,1,428,,2022-12-16T08:40:00.560Z
soft,a squid,beautiful,soft,,trial,,,2778.300000011921,1,428,26,2022-12-16T08:40:03.339Z
a squid,soft,a zebra,a squid,,trial,,,2429.199999988079,1,429,27,2022-12-16T08:40:05.768Z
rat,lamb,rooster,,40,feedback,,,1941.5,1,430,28,2022-12-16T08:40:07.712Z
a cat,to stand,a giraffe,a giraffe,,trial,,,3622.300000011921,1,496,29,2022-12-16T08:40:11.337Z
to kick,a giraffe,to stand,to stand,,trial,,,2776.199999988079,1,506,30,2022-12-16T08:40:14.113Z
alligator,iguana,coyote,,79,feedback,,,1893.3999999761581,1,516,31,2022-12-16T08:40:16.008Z
