topword,middleword,bottomword,chosenword,percentage,trial_type,question,response,rt,session,points,trialnum,datetime
,,,,,demographic,automatic user agent check,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:107.0) Gecko/20100101 Firefox/107.0,,1,0,,2022-12-15T13:05:06.582Z
weak,an octopus,a turtle,a turtle,,trial,,,3983,1,0,2,2022-12-15T13:05:37.672Z
to dance,a turtle,an octopus,an octopus,,trial,,,7253,1,10,3,2022-12-15T13:05:44.924Z
rooster,horse,rat,,100,feedback,,,5435,1,20,4,2022-12-15T13:06:00.398Z
,,,,,demographic,what is your age?,37,3436,1,29,,2022-12-15T13:06:06.057Z
strong,a fox,a dog,a dog,,trial,,,3474,1,29,5,2022-12-15T13:06:09.532Z
a lion,a dog,a fox,a lion,,trial,,,7844,1,39,6,2022-12-15T13:06:17.376Z
a dog,a lion,to dive,a dog,,trial,,,2936,1,40,7,2022-12-15T13:06:20.312Z
chicken,duck,caribou,,90,feedback,,,5167,1,41,8,2022-12-15T13:06:25.482Z
,,,,,demographic,what is your gender?,male,4125,1,132,,2022-12-15T13:06:33.154Z
deaf,a cat,a crow,a crow,,trial,,,3190,1,132,9,2022-12-15T13:06:36.346Z
good,a crow,a cat,a cat,,trial,,,4574,1,142,10,2022-12-15T13:06:40.920Z
seal,goat,chicken,,9,feedback,,,5991,1,152,11,2022-12-15T13:06:46.912Z
,,,,,demographic,what languages do you speak?,English,4556,1,175,,2022-12-15T13:06:51.470Z
sick,to duck,ripe,sick,,trial,,,5594,1,175,12,2022-12-15T13:06:57.066Z
to duck,sick,clever,to duck,,trial,,,1004,1,176,13,2022-12-15T13:06:58.070Z
lobster,dolphin,cougar,,98,feedback,,,4798,1,177,14,2022-12-15T13:07:02.870Z
,,,,,demographic,what is the highest level ofeducation you have completed?,5_bachelor,2914,1,198,,2022-12-15T13:07:08.590Z
a crab,to dance,a pig,a pig,,trial,,,4211,1,198,15,2022-12-15T13:07:12.802Z
a horse,a pig,to dance,a horse,,trial,,,4264,1,208,16,2022-12-15T13:07:17.066Z
a pig,a horse,a cat,a pig,,trial,,,3570,1,209,17,2022-12-15T13:07:20.636Z
turkey,penguin,seal,,4,feedback,,,4677,1,210,18,2022-12-15T13:07:25.315Z
,,,,,demographic,what is your first/native language?,English,5705,1,231,,2022-12-15T13:07:35.537Z
cheap,thin,a rat,cheap,,trial,,,3089,1,231,19,2022-12-15T13:07:38.631Z
thin,cheap,a tiger,thin,,trial,,,3121,1,232,20,2022-12-15T13:07:41.751Z
alligator,tiger,pig,,31,feedback,,,3516,1,233,21,2022-12-15T13:07:45.268Z
,,,,,demographic,what country do you currently live in?,usa,6585,1,299,,2022-12-15T13:07:54.248Z
a nest,an octopus,to jump,a nest,,trial,,,2673,1,299,22,2022-12-15T13:07:56.923Z
an octopus,a nest,to crawl,to crawl,,trial,,,2380,1,300,23,2022-12-15T13:07:59.303Z
a spider,to crawl,a nest,a spider,,trial,,,3105,1,310,24,2022-12-15T13:08:02.408Z
to crawl,a spider,stupid,to crawl,,trial,,,2126,1,311,25,2022-12-15T13:08:04.534Z
caribou,beaver,alligator,,59,feedback,,,4852,1,312,26,2022-12-15T13:08:09.388Z
,,,,,demographic,do you have any comments for us?,No additional comments,10279,1,409,,2022-12-15T13:08:21.406Z
a fox,a frog,a lion,a fox,,trial,,,4171,1,409,27,2022-12-15T13:08:25.578Z
a frog,a fox,a crab,a frog,,trial,,,3216,1,410,28,2022-12-15T13:08:28.794Z
peacock,crocodile,iguana,,5,feedback,,,3684,1,411,29,2022-12-15T13:08:32.480Z
an octopus,thick,a rat,an octopus,,trial,,,2473,1,479,30,2022-12-15T13:08:38.871Z
thick,an octopus,to stand,thick,,trial,,,3369,1,480,31,2022-12-15T13:08:42.239Z
pony,bat,rattlesnake,,37,feedback,,,4423,1,481,32,2022-12-15T13:08:46.665Z
famous,a chicken,sick,sick,,trial,,,2545,1,567,33,2022-12-15T13:08:51.384Z
a rat,sick,a chicken,a rat,,trial,,,2777,1,577,34,2022-12-15T13:08:54.162Z
sick,a rat,bad,bad,,trial,,,3988,1,578,35,2022-12-15T13:08:58.149Z
